Tag byte,Additional bytes,Variable Length,Constant Format,Is Constant,Decode,Description
1,2,1,{},1,final_constant,utf8
3,4,0,{},0,byte_to_int,Integer
4,4,0,{},0,byte_to_float,Float
5,8,0,{},0,byte_to_long,Long
6,8,0,{},0,byte_to_double,Double
7,2,0,{},1,nested_constant_1,Class
8,2,0,{},1,nested_constant_1,String
9,4,0,{}.{},1,nested_constant_2,Fieldref
10,4,0,{}.{},1,nested_constant_2,Methodref
11,4,0,{}{},1,nested_constant_2,InterfaceMethodReference
12,4,0,{}:{},1,nested_constant_2,NameAndType
15,3,0,{},1,nested_constant_1_plus,MethodHandle
16,2,0,{},1,nested_constant_1,MethodType
17,4,0,{}{},1,nested_constant_2,Dynamic
18,4,0,{}{},1,nested_constant_2,InvokeDynamic
19,2,0,{},1,nested_constant_1,Module
20,2,0,{},1,nested_constant_1,Package
